#options: 1920x1080 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1759 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:45 out:46 type:b dur:2 cpbdur:2 q:28.29 aq:18.90 tex:23820 mv:27975 misc:6525 imb:890 pmb:2701 smb:4569 d:- ref:0 ;
in:49 out:47 type:P dur:2 cpbdur:2 q:27.87 aq:14.11 tex:43524 mv:22248 misc:1988 imb:6218 pmb:313 smb:1629 d:- ref:0 ;
in:47 out:48 type:B dur:2 cpbdur:2 q:28.17 aq:17.16 tex:57643 mv:36795 misc:5282 imb:1882 pmb:3138 smb:3140 d:- ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:28.02 aq:17.89 tex:29935 mv:24789 misc:4964 imb:998 pmb:2236 smb:4926 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:28.18 aq:14.26 tex:7217 mv:5577 misc:2166 imb:2158 pmb:129 smb:5873 d:- ref:0 ;
in:51 out:51 type:I dur:2 cpbdur:2 q:25.52 aq:13.31 tex:241894 mv:90937 misc:377 imb:8160 pmb:0 smb:0 d:- ref:;
in:53 out:52 type:P dur:2 cpbdur:2 q:28.78 aq:16.93 tex:121963 mv:14033 misc:5628 imb:893 pmb:1111 smb:6156 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:28.78 aq:19.34 tex:15303 mv:8659 misc:6038 imb:157 pmb:1712 smb:6291 d:- ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:29.21 aq:18.90 tex:74151 mv:25986 misc:7031 imb:1477 pmb:2913 smb:3770 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:28.99 aq:19.78 tex:12741 mv:7913 misc:5922 imb:140 pmb:1593 smb:6427 d:- ref:0 ;
in:57 out:56 type:P dur:2 cpbdur:2 q:29.31 aq:19.21 tex:49087 mv:17712 misc:7177 imb:973 pmb:2048 smb:5139 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:29.26 aq:19.88 tex:8928 mv:5386 misc:5126 imb:106 pmb:1170 smb:6884 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:29.33 aq:19.30 tex:53941 mv:19980 misc:7359 imb:1417 pmb:2192 smb:4551 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:29.32 aq:19.42 tex:14676 mv:10179 misc:6265 imb:203 pmb:1743 smb:6214 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:29.31 aq:20.29 tex:9661 mv:5168 misc:5203 imb:135 pmb:1228 smb:6797 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:29.32 aq:19.94 tex:12061 mv:6206 misc:5821 imb:156 pmb:1522 smb:6482 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:29.48 aq:18.74 tex:56501 mv:24051 misc:7200 imb:1724 pmb:2338 smb:4098 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:29.40 aq:18.73 tex:19370 mv:12573 misc:6817 imb:216 pmb:2316 smb:5628 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:29.36 aq:19.57 tex:8834 mv:4746 misc:5036 imb:118 pmb:1176 smb:6866 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:29.44 aq:19.28 tex:5285 mv:3550 misc:3981 imb:62 pmb:771 smb:7327 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:29.74 aq:19.03 tex:40753 mv:19291 misc:7292 imb:1230 pmb:2039 smb:4891 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:29.61 aq:18.90 tex:17708 mv:11862 misc:6630 imb:196 pmb:2059 smb:5905 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:29.54 aq:19.75 tex:6647 mv:4645 misc:4460 imb:81 pmb:944 smb:7135 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:29.67 aq:20.44 tex:6959 mv:5149 misc:4596 imb:80 pmb:1005 smb:7075 d:- ref:0 ;
in:71 out:70 type:P dur:2 cpbdur:2 q:29.36 aq:19.19 tex:44835 mv:19870 misc:7415 imb:1149 pmb:2250 smb:4761 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:29.55 aq:20.02 tex:7748 mv:5198 misc:4838 imb:89 pmb:1103 smb:6968 d:- ref:0 ;
in:73 out:72 type:P dur:2 cpbdur:2 q:29.09 aq:18.11 tex:42710 mv:19787 misc:7271 imb:982 pmb:2161 smb:5017 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:29.22 aq:20.29 tex:7246 mv:6159 misc:4875 imb:86 pmb:1128 smb:6946 d:- ref:0 ;
in:75 out:74 type:P dur:2 cpbdur:2 q:28.81 aq:17.64 tex:47052 mv:21412 misc:7184 imb:1129 pmb:2197 smb:4834 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:28.95 aq:19.60 tex:6874 mv:5197 misc:4721 imb:78 pmb:1031 smb:7051 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:28.47 aq:17.44 tex:58092 mv:24449 misc:7227 imb:1555 pmb:2383 smb:4222 d:- ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:28.64 aq:19.09 tex:24860 mv:15958 misc:7174 imb:237 pmb:2664 smb:5259 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:28.72 aq:19.43 tex:8665 mv:5212 misc:4987 imb:97 pmb:1136 smb:6927 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:28.55 aq:19.40 tex:7769 mv:5342 misc:4705 imb:95 pmb:997 smb:7068 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:27.95 aq:17.52 tex:74168 mv:31949 misc:6755 imb:2151 pmb:2505 smb:3504 d:- ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:28.21 aq:18.76 tex:25145 mv:15699 misc:7164 imb:210 pmb:2739 smb:5211 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:28.34 aq:19.10 tex:8155 mv:7093 misc:5184 imb:93 pmb:1219 smb:6848 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:28.08 aq:18.73 tex:9864 mv:6539 misc:5301 imb:96 pmb:1274 smb:6790 d:- ref:0 ;
in:85 out:84 type:P dur:2 cpbdur:2 q:27.44 aq:17.11 tex:59179 mv:23999 misc:7262 imb:1458 pmb:2424 smb:4278 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:27.69 aq:18.72 tex:9344 mv:5125 misc:4971 imb:103 pmb:1136 smb:6921 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:27.27 aq:17.59 tex:73955 mv:29614 misc:6695 imb:1861 pmb:2821 smb:3478 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:27.35 aq:18.43 tex:33516 mv:15636 misc:7248 imb:209 pmb:3130 smb:4821 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:27.40 aq:18.50 tex:11055 mv:5813 misc:5380 imb:91 pmb:1315 smb:6754 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:27.31 aq:18.36 tex:10607 mv:5218 misc:5135 imb:102 pmb:1181 smb:6877 d:- ref:0 ;
in:91 out:90 type:P dur:2 cpbdur:2 q:26.97 aq:17.32 tex:51493 mv:23760 misc:7251 imb:1419 pmb:2449 smb:4292 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:27.12 aq:18.80 tex:11757 mv:7345 misc:5706 imb:98 pmb:1480 smb:6582 d:- ref:0 ;
in:93 out:92 type:P dur:2 cpbdur:2 q:26.95 aq:18.64 tex:37250 mv:19947 misc:7179 imb:1147 pmb:2088 smb:4925 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:26.96 aq:18.45 tex:12641 mv:7632 misc:5679 imb:119 pmb:1455 smb:6586 d:- ref:0 ;
in:95 out:94 type:P dur:2 cpbdur:2 q:26.62 aq:17.15 tex:70004 mv:29300 misc:6672 imb:2317 pmb:2463 smb:3380 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:26.78 aq:20.24 tex:21016 mv:7653 misc:6195 imb:145 pmb:1751 smb:6264 d:- ref:0 ;
in:96 out:96 type:I dur:2 cpbdur:2 q:25.11 aq:16.25 tex:1350702 mv:257202 misc:664 imb:8160 pmb:0 smb:0 d:- ref:;
in:100 out:97 type:P dur:2 cpbdur:2 q:28.64 aq:20.92 tex:385973 mv:38395 misc:4320 imb:756 pmb:3340 smb:4064 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:28.64 aq:27.41 tex:115856 mv:32010 misc:4070 imb:58 pmb:2421 smb:5681 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:28.64 aq:29.36 tex:42097 mv:18174 misc:3585 imb:12 pmb:1382 smb:6766 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:28.64 aq:29.13 tex:38062 mv:16099 misc:3567 imb:6 pmb:1367 smb:6787 d:- ref:0 ;
in:102 out:101 type:P dur:2 cpbdur:2 q:28.76 aq:21.76 tex:214205 mv:26598 misc:3477 imb:259 pmb:2977 smb:4924 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:28.70 aq:29.48 tex:20281 mv:10836 misc:3243 imb:7 pmb:1008 smb:7145 d:- ref:0 ;
in:104 out:103 type:P dur:2 cpbdur:2 q:28.75 aq:23.11 tex:160420 mv:24265 misc:3555 imb:107 pmb:2953 smb:5100 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:28.75 aq:29.83 tex:10864 mv:7552 misc:2840 imb:3 pmb:722 smb:7435 d:- ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:28.69 aq:23.66 tex:189917 mv:25604 misc:3287 imb:167 pmb:2958 smb:5035 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:28.72 aq:29.41 tex:14272 mv:9006 misc:2834 imb:2 pmb:769 smb:7389 d:- ref:0 ;
in:108 out:107 type:P dur:2 cpbdur:2 q:28.64 aq:22.89 tex:211014 mv:26789 misc:3149 imb:240 pmb:2885 smb:5035 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:28.67 aq:29.28 tex:21994 mv:11281 misc:3061 imb:1 pmb:936 smb:7223 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:28.65 aq:23.27 tex:237743 mv:27631 misc:3050 imb:295 pmb:2908 smb:4957 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:28.65 aq:29.20 tex:25478 mv:12865 misc:3377 imb:3 pmb:1090 smb:7067 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:29.84 aq:24.13 tex:184734 mv:26236 misc:3270 imb:221 pmb:2821 smb:5118 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:29.25 aq:30.02 tex:21915 mv:11680 misc:3365 imb:3 pmb:1016 smb:7141 d:- ref:0 ;
in:114 out:113 type:P dur:2 cpbdur:2 q:30.55 aq:26.07 tex:135732 mv:23957 misc:3503 imb:165 pmb:2666 smb:5329 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:30.20 aq:30.86 tex:15097 mv:9549 misc:3050 imb:7 pmb:839 smb:7314 d:- ref:0 ;
in:116 out:115 type:P dur:2 cpbdur:2 q:30.56 aq:26.35 tex:165392 mv:25779 misc:3125 imb:276 pmb:2625 smb:5259 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:30.55 aq:31.36 tex:19681 mv:11186 misc:3261 imb:7 pmb:999 smb:7154 d:- ref:0 ;
in:118 out:117 type:P dur:2 cpbdur:2 q:30.79 aq:26.16 tex:186468 mv:27682 misc:3194 imb:359 pmb:2617 smb:5184 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:30.67 aq:31.65 tex:26869 mv:13359 misc:3412 imb:8 pmb:1169 smb:6983 d:- ref:0 ;
in:120 out:119 type:P dur:2 cpbdur:2 q:30.95 aq:26.51 tex:170720 mv:26807 misc:3001 imb:331 pmb:2656 smb:5173 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:30.87 aq:31.71 tex:20313 mv:11918 misc:3369 imb:10 pmb:1096 smb:7054 d:- ref:0 ;
in:122 out:121 type:P dur:2 cpbdur:2 q:31.13 aq:26.94 tex:129402 mv:23683 misc:3227 imb:219 pmb:2613 smb:5328 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:31.04 aq:31.60 tex:10959 mv:6918 misc:2763 imb:2 pmb:713 smb:7445 d:- ref:0 ;
in:124 out:123 type:P dur:2 cpbdur:2 q:31.34 aq:28.23 tex:109234 mv:22687 misc:3335 imb:148 pmb:2631 smb:5381 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:31.24 aq:31.96 tex:8519 mv:6424 misc:2625 imb:1 pmb:646 smb:7513 d:- ref:0 ;
in:126 out:125 type:P dur:2 cpbdur:2 q:31.57 aq:29.06 tex:110239 mv:23815 misc:3306 imb:189 pmb:2551 smb:5420 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:31.46 aq:32.24 tex:11651 mv:8046 misc:2791 imb:3 pmb:742 smb:7415 d:- ref:0 ;
in:128 out:127 type:P dur:2 cpbdur:2 q:31.75 aq:29.53 tex:126863 mv:25348 misc:3333 imb:282 pmb:2595 smb:5283 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:31.66 aq:32.41 tex:16370 mv:10156 misc:3170 imb:5 pmb:916 smb:7239 d:- ref:0 ;
in:130 out:129 type:P dur:2 cpbdur:2 q:31.84 aq:31.99 tex:92281 mv:23536 misc:3567 imb:282 pmb:2296 smb:5582 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:31.80 aq:32.66 tex:18502 mv:10317 misc:3317 imb:4 pmb:988 smb:7168 d:- ref:0 ;
in:131 out:131 type:I dur:2 cpbdur:2 q:27.23 aq:17.86 tex:269770 mv:115056 misc:406 imb:8160 pmb:0 smb:0 d:- ref:;
in:134 out:132 type:P dur:2 cpbdur:2 q:32.34 aq:25.04 tex:71972 mv:35192 misc:4668 imb:2240 pmb:1846 smb:4074 d:- ref:0 ;
in:132 out:133 type:B dur:2 cpbdur:2 q:32.34 aq:27.00 tex:17660 mv:18474 misc:4730 imb:246 pmb:1716 smb:6198 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:32.34 aq:28.47 tex:11946 mv:15040 misc:4238 imb:144 pmb:1476 smb:6540 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:32.35 aq:24.57 tex:64806 mv:33752 misc:4946 imb:2159 pmb:1882 smb:4119 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:32.35 aq:29.07 tex:11423 mv:14586 misc:4487 imb:132 pmb:1508 smb:6520 d:- ref:0 ;
in:138 out:137 type:P dur:2 cpbdur:2 q:32.35 aq:24.60 tex:59473 mv:31183 misc:5088 imb:1872 pmb:1739 smb:4549 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:32.35 aq:28.89 tex:10300 mv:13799 misc:3805 imb:101 pmb:1316 smb:6743 d:- ref:0 ;
in:140 out:139 type:P dur:2 cpbdur:2 q:32.30 aq:25.79 tex:49406 mv:29442 misc:5528 imb:1445 pmb:1776 smb:4939 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:32.33 aq:28.37 tex:11020 mv:14105 misc:3835 imb:147 pmb:1269 smb:6744 d:- ref:0 ;
in:143 out:141 type:P dur:2 cpbdur:2 q:32.28 aq:21.85 tex:169698 mv:49377 misc:869 imb:6855 pmb:521 smb:784 d:- ref:0 ;
in:141 out:142 type:B dur:2 cpbdur:2 q:32.29 aq:24.05 tex:71479 mv:48762 misc:5879 imb:1889 pmb:3610 smb:2661 d:- ref:0 ;
